id,partner,alcon_id,created_at,skus
53936,bcom,76d0b4058e99d2243be0835b499d159b,2024-07-22 10:00:53,"[{""id"": 44, ""brand"": ""\u041e\u043f\u0442\u0438-\u0424\u0440\u0438"", ""quantity"": 1, ""size"": 15}]"
53937,bcom,225f22e4671233e2d8c686388df8b321,2024-07-22 10:00:55,"[{""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}, {""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}]"
53938,bcom,423e06db2d75be63283cc323eec4b5bd,2024-07-22 10:00:58,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": 1, ""size"": 30}, {""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": 1, ""size"": 30}]"
53939,bcom,af8ec59cf71bc78ea96012527985797c,2024-07-22 10:01:02,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": 1, ""size"": 30}]"
53940,bcom,13a7026816b419cef36113745d3b6836,2024-07-22 10:01:05,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": 1, ""size"": 30}]"
53941,bcom,6f53208d001ae0a2452a191a737205bd,2024-07-22 10:01:07,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": 1, ""size"": 30}, {""id"": 40, ""brand"": ""Precision1"", ""quantity"": 1, ""size"": 30}]"
53942,bcom,ef1908728fa1536754d4dcd5cb638097,2024-07-22 10:01:09,"[{""id"": 8, ""brand"": ""Air Optix plus HydraGlyde"", ""quantity"": 1, ""size"": 6}, {""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}]"
53943,bcom,97ebfd2ba3f91579788c6d961257df87,2024-07-22 10:01:12,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": 1, ""size"": 30}]"
53944,bcom,943ff509a394304c4c28476f613381ec,2024-07-22 10:01:14,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": 1, ""size"": 30}, {""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": 1, ""size"": 30}]"
53945,bcom,4b7a04c019c4569311458e6efe2e5875,2024-07-22 10:01:15,"[{""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}, {""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}]"
53946,linzitut,e1ce905909799750b3ca22c671842b31,2024-07-22 16:25:32,"[{""id"": ""1"", ""quantity"": 1, ""size"": 30, ""brand"": ""Dailies Total1""}]"
53947,kb-12,ab8b1625bd9e038d509f2b5bc8696f3c,2024-07-23 00:16:03,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": ""1"", ""size"": 30}]"
53948,kb-12,237e1094c900876812f3c9d9226cfad9,2024-07-23 00:30:03,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": ""2"", ""size"": 30}]"
53949,kb-12,f6b02c4a946db8d8033a0ff64a5d89eb,2024-07-23 00:42:02,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": ""2"", ""size"": 30}]"
