id,partner,alcon_id,created_at,skus
53031,bcom,bbd53506fcefaa85f2898e3dc6833f30,2024-07-11 10:00:53,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": 1, ""size"": 30}]"
53032,bcom,4a07c8fb0837d8e871666752ddac0603,2024-07-11 10:00:55,"[{""id"": 67, ""brand"": ""\u0422\u043e\u0432\u0430\u0440 Alcon"", ""quantity"": 1, ""size"": 0}]"
53033,bcom,a5d73d46c0fa3a8f1bf32c5eecf01ee3,2024-07-11 10:00:57,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": 1, ""size"": 30}, {""id"": 40, ""brand"": ""Precision1"", ""quantity"": 1, ""size"": 30}]"
53034,bcom,b479b2f1437a23ffe32d7b5c210dd3af,2024-07-11 10:00:59,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": 1, ""size"": 30}, {""id"": 40, ""brand"": ""Precision1"", ""quantity"": 1, ""size"": 30}]"
53035,bcom,64a56d657d20957e3a0bebe3cd448460,2024-07-11 10:01:01,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": 1, ""size"": 30}]"
53036,bcom,4c7d79f462e83006c214d01a257852be,2024-07-11 10:01:03,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": 1, ""size"": 30}]"
53037,bcom,ae1ce1211c0c0ce5ed7c839e62adf1ee,2024-07-11 10:01:06,"[{""id"": 3, ""brand"": ""Air Optix Aqua"", ""quantity"": 1, ""size"": 3}]"
53038,bcom,7157430de6e4fc76ecb1a8dad7a95b8b,2024-07-11 10:01:09,"[{""id"": 44, ""brand"": ""\u041e\u043f\u0442\u0438-\u0424\u0440\u0438"", ""quantity"": 1, ""size"": 15}]"
53039,bcom,d1f9411382b2067402dd81164eaeb046,2024-07-11 10:01:12,[]
53040,bcom,e6006f142f771ac222c502ef94a66495,2024-07-11 10:01:13,"[{""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}]"
53041,bcom,b2211119fb56ba89ee37698a1d287fc6,2024-07-11 10:01:15,"[{""id"": 67, ""brand"": ""\u0422\u043e\u0432\u0430\u0440 Alcon"", ""quantity"": 1, ""size"": 0}]"
53042,bcom,95df4befc4731a10670e82988ca39237,2024-07-11 10:01:18,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": 1, ""size"": 30}]"
53043,bcom,89a6df2cdebe63a6738135139175b67f,2024-07-11 15:28:05,"[{""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}]"
53044,,27e74e33d07514394243e5541e39b9db,2024-07-11 16:53:00,"[{""id"": ""27"", ""brand"": ""Air Optix plus HydraGlyde for Astigmatism"", ""quantity"": ""1"", ""size"": ""3""}, {""id"": ""27"", ""brand"": ""Air Optix plus HydraGlyde for Astigmatism"", ""quantity"": ""1"", ""size"": ""3""}]"
53045,,e441ac044197fc0f74b32f46002366b7,2024-07-11 17:37:08,"[{""id"": ""8"", ""brand"": ""Air Optix plus HydraGlyde"", ""quantity"": ""1"", ""size"": ""6""}]"
53046,,3da12d187b14eb73c02ec361e4c9707c,2024-07-11 18:42:57,"[{""id"": ""4"", ""brand"": ""Dailies Total1 \u041c\u0443\u043b\u044c\u0442\u0438\u0444\u043e\u043a\u0430\u043b\u044c\u043d\u044b\u0435"", ""quantity"": ""1"", ""size"": ""30""}, {""id"": ""4"", ""brand"": ""Dailies Total1 \u041c\u0443\u043b\u044c\u0442\u0438\u0444\u043e\u043a\u0430\u043b\u044c\u043d\u044b\u0435"", ""quantity"": ""1"", ""size"": ""30""}]"
53047,linzitut,371899e6102bdcbc3c68c8e25f8826e2,2024-07-11 20:31:37,"[{""id"": ""1"", ""quantity"": 1, ""size"": 30, ""brand"": ""Dailies Total1""}]"
53048,,a57bf3c94e7b37611dce042a45a490bc,2024-07-12 08:09:07,"[{""id"": ""28"", ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": ""1"", ""size"": ""3""}]"
53049,,9da39a6f4607e7d47eebbd235361df01,2024-07-12 08:09:04,"[{""id"": ""43"", ""brand"": ""\u041e\u043f\u0442\u0438-\u0444\u0440\u0438 \u042d\u043a\u0441\u043f\u0440\u0435\u0441\u0441 \u0420\u0430\u0441\u0442\u0432\u043e\u0440"", ""quantity"": ""1"", ""size"": ""355""}]"
53050,bcom,6f85c7bef422c9b51464270e2808a8b1,2024-07-12 10:00:01,"[{""id"": 46, ""brand"": ""AOSept"", ""quantity"": 1, ""size"": 360}]"
53051,bcom,bbea1139f543967dc9e6687d18c85bae,2024-07-12 10:00:03,"[{""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}]"
53052,bcom,81e0cb568ca06544a15a3cf5fe0fbdf7,2024-07-12 10:00:05,[]
53053,bcom,5481f19722ebdbe47f6c85c0e9efa621,2024-07-12 10:00:06,"[{""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}]"
53054,bcom,5532d638d92dd5cee631981e95b625c4,2024-07-12 10:00:09,"[{""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}, {""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}]"
53055,bcom,5c77594199d8306bcac6a0e6efa5a4be,2024-07-12 10:00:11,"[{""id"": 67, ""brand"": ""\u0422\u043e\u0432\u0430\u0440 Alcon"", ""quantity"": 1, ""size"": 0}]"
53056,bcom,3f6a0da2222fcc2d320eb58bbca3c602,2024-07-12 10:00:13,"[{""id"": 67, ""brand"": ""\u0422\u043e\u0432\u0430\u0440 Alcon"", ""quantity"": 1, ""size"": 0}]"
53057,bcom,59aaa6e9da5877a66ff6442017563853,2024-07-12 10:00:16,"[{""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}]"
53058,bcom,80ce483317da03df3f280db7aae0a508,2024-07-12 10:00:20,"[{""id"": 67, ""brand"": ""\u0422\u043e\u0432\u0430\u0440 Alcon"", ""quantity"": 1, ""size"": 0}]"
53059,bcom,3d2a1c66e24f2ef509c56d6ca88d9474,2024-07-12 10:00:22,[]
53060,bcom,1a011fefd0ae469ef998d9218606c119,2024-07-12 10:00:24,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": 1, ""size"": 30}]"
53061,bcom,b8e50006b1e18a6dbb1092be0a8ed66a,2024-07-12 10:00:28,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": 1, ""size"": 30}, {""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": 1, ""size"": 30}]"
53062,bcom,c35707621f5af2218e85644bd177f635,2024-07-12 10:00:31,"[{""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}]"
53063,bcom,ab4f3c7549ef51e33f1b16fbc67bb30b,2024-07-12 10:00:35,"[{""id"": 40, ""brand"": ""Precision1"", ""quantity"": 1, ""size"": 30}]"
53064,bcom,39497a84ca74c43640121ef49fd38a18,2024-07-12 10:00:37,"[{""id"": 67, ""brand"": ""\u0422\u043e\u0432\u0430\u0440 Alcon"", ""quantity"": 1, ""size"": 0}]"
53065,bcom,feeee21c75c1942b590ec30f6f3590d8,2024-07-12 10:00:39,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": 1, ""size"": 30}, {""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": 1, ""size"": 30}]"
53066,bcom,75f47d9d1c66bebc4ec1851e3a84e338,2024-07-12 10:00:40,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": 1, ""size"": 30}, {""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": 1, ""size"": 30}]"
53067,bcom,0b925d8dbd8089145f759004cf666fa3,2024-07-12 10:00:44,"[{""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}]"
53068,bcom,cef5f98fe7a8d06d21ba3c434e4b4f78,2024-07-12 10:00:46,"[{""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}]"
53069,bcom,208e2f0dc2bb7c1ed662401531419eb6,2024-07-12 10:00:50,"[{""id"": 1, ""brand"": ""Dailies Total1"", ""quantity"": 1, ""size"": 30}]"
53070,bcom,b50e7406131175c24f96b51157e7c746,2024-07-12 10:00:51,"[{""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}]"
53071,bcom,2107ff1d16eb585a0b05fdb2d01a7639,2024-07-12 10:00:54,"[{""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}, {""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}]"
53072,bcom,d80306646f01bd378bd901c57e4edfaf,2024-07-12 10:00:55,"[{""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}]"
53073,bcom,77d50ae3e98ece1e88db1580e6983243,2024-07-12 10:00:57,"[{""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}, {""id"": 28, ""brand"": ""Air Optix plus HydraGlyde Multifocal"", ""quantity"": 1, ""size"": 3}]"
53074,bcom,31148b3ca17b113d73772476cf87b55e,2024-07-12 10:00:59,"[{""id"": 67, ""brand"": ""\u0422\u043e\u0432\u0430\u0440 Alcon"", ""quantity"": 1, ""size"": 0}]"
